dia_pinado,shop_id,item_id,main_category,level2_global_kpi_category,batch_time,promo_price_dia_pinado,orders_dia_pinado,gmv_dia_pinado,promo_price_max_acumulado,ADO_acumulado,adgmv_acumulado
2023-07-06,505370631,14737901057,Underwear & Sleepwear,Women Underwear,18.0,42.99,56.0,2530.41,46.99,26.11,1211.14
2023-07-07,420271165,14393163766,Women Clothes,Pants & Leggings,11.0,53.9,37.5,2147.23,59.9,0.13,8.19
2023-07-11,477837699,22329854947,Baby & Kids Fashion,Girl Shoes,10.0,44.9,13.0,657.38,44.9,0.47,24.92
2023-07-09,287750271,19671565485,Men Clothes,Pants,6.0,76.99,0.0,0.0,76.99,0.55,49.41
2023-07-06,431103460,15770458729,Bags,Crossbody & Shoulder Bags,18.0,49.9,38.0,2162.01,59.99,10.82,614.48
2023-07-09,504485477,22628606048,Underwear & Sleepwear,Sleepwear,0.0,82.99,1.0,83.31,82.99,0.0,0.0
2023-07-07,423660679,17203906865,Shoes,Sandals & Flip Flops,6.0,45.9,53.5,2496.81,45.9,1.43,69.5
2023-07-10,499950777,8485573997,Baby & Kids Fashion,Boy Shoes,18.0,49.9,9.5,560.56,49.9,0.42,23.09
2023-07-08,691766799,15577939442,Men Clothes,"Jackets, Coats & Vests",0.0,122.72,3.0,363.02,124.0,0.7,82.52
2023-07-04,638457640,22110958004,Women Clothes,"Jackets, Coats & Vests",20.0,89.99,8.0,740.76,89.99,0.67,60.76
2023-07-11,414538113,21931935242,Women Clothes,Dresses,10.0,0.0,0.0,0.0,49.99,0.15,8.57
2023-07-08,499950777,11123037343,Baby & Kids Fashion,Boy Shoes,6.0,54.99,2.5,170.01,61.9,0.03,3.2
2023-07-09,424871094,21941078377,Women Clothes,Tops,18.0,54.99,2.0,204.13,54.99,1.27,63.16
2023-07-11,387348115,9315675115,Shoes,Boots,14.0,129.99,10.0,1297.4,129.99,0.95,127.44
2023-07-06,401637348,21728029883,Shoes,Oxfords & Lace-Ups,14.0,44.9,15.0,772.52,44.9,3.98,192.67
2023-07-06,578977418,14218806390,Men Clothes,Jeans,20.0,55.0,9.0,560.91,55.0,3.81,225.64
2023-07-11,358675294,18332111886,Underwear & Sleepwear,Women Underwear,6.0,46.9,10.5,555.36,46.9,0.53,26.16
2023-07-06,585191959,10872767768,Shoes,Boots,6.0,59.9,19.0,1231.63,59.9,3.8,246.66
2023-07-09,585191959,10872767768,Shoes,Boots,14.0,59.9,11.0,715.95,59.9,5.07,328.17
2023-07-06,287750271,19671565485,Men Clothes,Pants,6.0,76.99,3.5,311.11,76.99,0.43,39.04
2023-07-11,341760394,17437927966,Women Clothes,Pants & Leggings,18.0,44.9,31.0,1556.56,49.9,5.81,303.91
2023-07-08,666675756,12785993196,Men Clothes,Tops,12.0,48.9,6.0,310.55,43.9,2.85,122.87
2023-07-07,417489596,19805529873,Women Clothes,"Jumpsuits, Playsuits & Overalls",14.0,46.99,28.0,1381.89,59.99,0.66,42.27
2023-07-06,445382139,18539943150,Underwear & Sleepwear,Socks & Stockings,0.0,45.99,10.0,473.64,45.99,1.43,67.27
2023-07-06,367846658,16735559044,Shoes,Heels,6.0,49.99,29.5,1659.48,54.9,7.46,406.05
2023-07-04,325001757,9159982525,Women Clothes,"Jackets, Coats & Vests",12.0,39.9,25.0,1154.07,39.9,2.47,116.83
2023-07-04,426378412,9990606194,Women Clothes,Sports & Outdoor Apparels,0.0,39.9,2.0,80.12,39.9,1.04,61.59
2023-07-06,960650604,23128141356,Baby & Kids Fashion,Baby Mittens & Footwear,0.0,55.95,2.0,75.72,55.95,0.17,9.58
2023-07-04,417489596,15582946065,Women Clothes,Sports & Outdoor Apparels,12.0,42.99,15.75,785.69,44.99,3.48,203.15
2023-07-04,431103460,15770458729,Bags,Crossbody & Shoulder Bags,18.0,49.9,26.0,1417.64,59.99,9.35,534.93
2023-07-11,406163509,20873298557,Bags,Crossbody & Shoulder Bags,20.0,69.9,52.0,3794.23,69.9,3.52,261.79
2023-07-11,855358058,18442932771,Shoes,Boots,6.0,59.9,0.0,0.0,59.99,0.17,9.72
2023-07-07,505370631,14737901057,Underwear & Sleepwear,Women Underwear,18.0,0.0,0.0,0.0,46.99,27.98,1295.49
2023-07-07,300368017,18150062143,Baby & Kids Fashion,Girl Clothes,10.0,45.99,41.5,1949.57,52.99,0.43,26.05
2023-07-06,337517904,7796134611,Women Clothes,Pants & Leggings,10.0,44.99,16.0,773.41,44.99,1.59,89.73
2023-07-06,299297248,4879162121,Women Clothes,Sets,10.0,0.0,0.0,0.0,67.9,1.63,117.66
2023-07-07,588834123,13153675000,Shoes,Boots,2.0,118.9,5.0,590.6,0.0,0.0,0.0
2023-07-10,598038854,21411350093,Men Clothes,Jeans,12.0,144.0,7.0,1044.43,0.0,0.0,0.0
2023-07-11,372739370,19825499678,Women Clothes,Sweaters & Cardigans,10.0,0.0,0.0,0.0,39.0,0.25,10.67
2023-07-08,376576138,16514485933,Baby & Kids Fashion,Boy Shoes,10.0,42.9,15.0,693.86,42.9,23.97,1061.26
2023-07-05,714111748,22735005351,Women Clothes,Pants & Leggings,0.0,67.99,1.0,73.04,0.0,0.0,0.0
2023-07-07,387348115,6379458559,Shoes,Boots,13.0,74.99,9.0,719.49,79.99,0.57,47.61
2023-07-11,445382139,20338622731,Underwear & Sleepwear,Socks & Stockings,0.0,32.99,0.0,0.0,0.0,0.0,0.0
2023-07-08,318391781,21045714074,Shoes,Flats,20.0,53.9,50.49,2947.25,53.9,17.12,1005.38
2023-07-11,367054133,16419809823,Men Clothes,Tops,12.0,85.99,1.0,112.51,89.99,0.52,58.47
